Agrupado,Asistencia_Anterior_%,Asistencia_Actual_%,Variacion_p.p.
Educación Especial Discapacidad Intelectual,75.94976733274605,65.42229557633922,-10.527471756406825
Educación Parvularia,79.99903561938655,72.3014139523931,-7.697621666993442
Educación de Personas Jóvenes y Adultas,61.716578256036,57.10179001051229,-4.614788245523712
Enseñanza Básica,84.75627981591019,79.07708430003068,-5.679195515879513
Enseñanza Media H-C niños y jóvenes,81.79327478776798,75.0356933730696,-6.757581414698379
Enseñanza Media T-P Comercial Niños y Jóvenes,83.05127316049646,74.73482283908824,-8.316450321408226
Enseñanza Media T-P Industrial Niños y Jóvenes,82.57817212182292,74.24312411444764,-8.335048007375278
Enseñanza Media T-P Técnica Niños y Jóvenes,81.6733613523382,75.37827190170941,-6.295089450628794
